     ksi;1.initialDensity;2.initialDensity;3.initialDensity;4.initialDensity;5.initialDensity;6.initialDensity;7.initialDensity;8.initialDensity;     tau;1.inputFlow;1.bunkerOutputFlow; 1.speed;2.inputFlow; 2.speed;3.inputFlow; 3.speed;4.inputFlow; 4.speed;5.inputFlow; 5.speed;6.inputFlow; 6.speed;6.connections.7;6.connections.8;7.inputFlow; 7.speed;8.inputFlow; 8.speed
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.10000;    0.24233;           0.25546; 0.25546;    0.03979; 0.75211;           ; 1.05338;    0.01428; 0.54986;    0.56904; 0.75001;           ; 1.65997;        0.40000;        0.60000;           ; 1.31530;           ; 0.69127
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.11000;    0.23763;           0.25395; 0.25395;    0.04781; 0.73393;           ; 1.07278;    0.00517; 0.58911;    0.60301; 0.68535;           ; 1.61792;        0.40000;        0.60000;           ; 1.44932;           ; 0.69487
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.12000;    0.23286;           0.25268; 0.25268;    0.05646; 0.71532;           ; 1.08931;    0.00058; 0.63288;    0.63033; 0.62843;           ; 1.55841;        0.40000;        0.60000;           ; 1.57374;           ; 0.74121
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.13000;    0.22802;           0.25166; 0.25166;    0.06572; 0.69636;           ; 1.10283;    0.00058; 0.68046;    0.65035; 0.58067;           ; 1.48355;        0.40000;        0.60000;           ; 1.68257;           ; 0.82738
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.14000;    0.22312;           0.25088; 0.25088;    0.07554; 0.67712;           ; 1.11322;    0.00517; 0.73110;    0.66256; 0.54323;           ; 1.39599;        0.40000;        0.60000;           ; 1.77056;           ; 0.94795
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.15000;    0.21817;           0.25034; 0.25034;    0.08588; 0.65767;           ; 1.12038;    0.01428; 0.78402;    0.66667; 0.51704;           ; 1.29882;        0.40000;        0.60000;           ; 1.83348;           ; 1.09536
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.16000;    0.21317;           0.25005; 0.25005;    0.09670; 0.63809;           ; 1.12426;    0.02776; 0.83837;    0.66256; 0.50274;           ; 1.19550;        0.40000;        0.60000;           ; 1.86829;           ; 1.26033
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.17000;    0.20811;           0.25001; 0.25001;    0.10797; 0.61846;           ; 1.12481;    0.04540; 0.89330;    0.65035; 0.50068;           ; 1.08968;        0.40000;        0.60000;           ; 1.87332;           ; 1.43251
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.18000;    0.20302;           0.25022; 0.25022;    0.11963; 0.59885;           ; 1.12204;    0.06693; 0.94794;    0.63033; 0.51092;           ; 0.98511;        0.40000;        0.60000;           ; 1.84833;           ; 1.60108
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.19000;    0.19790;           0.25067; 0.25067;    0.13164; 0.57935;           ; 1.11597;    0.09201; 1.00143;    0.60301; 0.53321;           ; 0.88550;        0.40000;        0.60000;           ; 1.79452;           ; 1.75544
        ;                ;                ;                ;                ;                ;                ;                ;                ;27.20000;    0.19274;           0.25137; 0.25137;    0.14395; 0.56003;           ; 1.10665;    0.12023; 1.05293;    0.56904; 0.56698;           ; 0.79437;        0.40000;        0.60000;           ; 1.71448;           ; 1.88590
